params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.411447703703704,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.1944217283950613,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.1679186172839513,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.2021163456790127,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",1.3688568888888888,100,0.00010638297872340425,0.0,0.0,0.010638297872340425,0.0010584972735176808
"{""discount_factor"": 0.5}",1.2012345679012348,100,0.002097397445317309,0.0,0.0,0.024390243902439025,0.005110451023523833
"{""discount_factor"": 0.6}",1.2184347654320984,100,0.009682329088301325,0.006671099290780142,0.0,0.0625,0.011759659471435712
"{""discount_factor"": 0.7}",1.4636649876543224,100,0.010728178458331825,0.009221485636579976,0.0,0.047619047619047616,0.011625593316715232
"{""discount_factor"": 0.8}",1.230299654320989,100,0.010746428211084806,0.009433962264150943,0.0,0.04,0.009917779276939038
"{""discount_factor"": 0.9}",1.2413384691358011,100,0.013341778263771285,0.013513513513513514,0.0,0.043478260869565216,0.009283683608033147
