step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005291005291005291,0.0026455026455026454,0.0026455026455026454,0.0026455026455026454,0.005291005291005291,0.0
2,0.0,0.001763668430335097,0.0,0.002494203813709162,0.005291005291005291,0.0
3,0.0,0.0013227513227513227,0.0,0.002291072496784229,0.005291005291005291,0.0
4,0.003105590062111801,0.0016793190706234182,0.0,0.0021697402571983614,0.005291005291005291,0.0
5,0.0,0.0013994325588528485,0.0,0.002077215993530322,0.005291005291005291,0.0
6,0.0,0.00119951362187387,0.0,0.001984496917893686,0.005291005291005291,0.0
7,0.0072992700729927005,0.001961983178263724,0.0,0.0027414354425989553,0.0072992700729927005,0.0
8,0.0,0.0017439850473455326,0.0,0.0026571792816514036,0.0072992700729927005,0.0
9,0.0,0.0015695865426109794,0.0,0.002574543669747428,0.0072992700729927005,0.0
10,0.009345794392523364,0.0022765145289666503,0.0,0.0033201169289729816,0.009345794392523364,0.0
11,0.0,0.002086804984886096,0.0,0.0032404421317390737,0.009345794392523364,0.0
12,0.0,0.0019262815245102427,0.0,0.003162586045012944,0.009345794392523364,0.0
13,0.0,0.0017886899870452253,0.0,0.0030876583461137163,0.009345794392523364,0.0
14,0.0,0.001669443987908877,0.0,0.0030161453835170168,0.009345794392523364,0.0
15,0.0,0.0015651037386645722,0.0,0.002948196987616249,0.009345794392523364,0.0
16,0.0,0.0014730388128607738,0.0,0.002883781281967448,0.009345794392523364,0.0
17,0.0,0.0013912033232573976,0.0,0.002822770533138379,0.009345794392523364,0.0
18,0.0,0.0013179820957175345,0.0,0.002764989614153273,0.009345794392523364,0.0
19,0.0,0.0012520829909316578,0.0,0.002710243593531163,0.009345794392523364,0.0
20,0.0,0.0011924599913634836,0.0,0.0026583333984005397,0.009345794392523364,0.0
21,0.007042253521126761,0.0014583596972618143,0.0,0.0028688459158837027,0.009345794392523364,0.0
22,0.006993006993006993,0.0016989965362072567,0.0,0.003024297059671672,0.009345794392523364,0.0
23,0.0,0.001628205013865288,0.0,0.0029800229787773384,0.009345794392523364,0.0
24,0.0,0.0015630768133106765,0.0,0.00293719523628561,0.009345794392523364,0.0
25,0.0,0.0015029584743371889,0.0,0.002895800247733294,0.009345794392523364,0.0
26,0.0,0.0014472933456580338,0.0,0.0028558086209272563,0.009345794392523364,0.0
27,0.0,0.0013956042975988184,0.0,0.0028171807497914367,0.009345794392523364,0.0
28,0.0,0.0013474800114747212,0.0,0.002779870720454801,0.009345794392523364,0.0
29,0.0,0.0013025640110922304,0.0,0.002743829042411523,0.009345794392523364,0.0
30,0.0,0.0012605458171860294,0.0,0.002709004554916017,0.009345794392523364,0.0
31,0.0,0.001221153760398966,0.0,0.00267534575043605,0.009345794392523364,0.0
32,0.003787878787878788,0.0012989333066862332,0.0,0.0026709868506457875,0.009345794392523364,0.0
33,0.0,0.001260729385901344,0.0,0.0026405505127257665,0.009345794392523364,0.0
34,0.0,0.0012247085463041628,0.0,0.0026110165748896934,0.009345794392523364,0.0
35,0.0,0.0011906888644623804,0.0,0.0025823520245359705,0.009345794392523364,0.0
36,0.007518796992481203,0.0013617188138682946,0.0,0.002746152924313263,0.009345794392523364,0.0
37,0.0,0.0013258841082401816,0.0,0.0027185311873598418,0.009345794392523364,0.0
38,0.0,0.0012918870798237665,0.0,0.0026916230047172775,0.009345794392523364,0.0
39,0.0,0.0012595899028281724,0.0,0.0026654070491331505,0.009345794392523364,0.0
40,0.0058823529411764705,0.0013723402208366676,0.0,0.002727567081774682,0.009345794392523364,0.0
41,0.007462686567164179,0.0015173484671777988,0.0,0.0028503703927390813,0.009345794392523364,0.0
42,0.004651162790697674,0.001590227870050354,0.0,0.0028563518751113263,0.009345794392523364,0.0
43,0.0,0.0015540863275492096,0.0,0.0028336349562482484,0.009345794392523364,0.0
44,0.005681818181818182,0.00164581370208852,0.0,0.002867275032837202,0.009345794392523364,0.0
45,0.0,0.0016100351433474653,0.0,0.0028460758377972257,0.009345794392523364,0.0
46,0.0,0.001575779076467732,0.0,0.0028252051430616393,0.009345794392523364,0.0
47,0.0,0.0015429503457079878,0.0,0.0028046657613874206,0.009345794392523364,0.0
48,0.0,0.0015114615631425187,0.0,0.00278445873438122,0.009345794392523364,0.0
49,0.0,0.0014812323318796684,0.0,0.002764583648457183,0.009345794392523364,0.0
50,0.0,0.0014521885606663416,0.0,0.002745038897948929,0.009345794392523364,0.0
51,0.0,0.0014242618575766041,0.0,0.0027258219045992924,0.009345794392523364,0.0
52,0.0,0.0013973889923393097,0.0,0.0027069293009316362,0.009345794392523364,0.0
53,0.0,0.0013715114184071004,0.0,0.0026883570836306685,0.009345794392523364,0.0
54,0.0,0.0013465748471633348,0.0,0.002670100741955127,0.009345794392523364,0.0
55,0.0,0.0013225288677497038,0.0,0.002652155365312643,0.009345794392523364,0.0
56,0.0,0.0012993266069119898,0.0,0.002634515733404383,0.009345794392523364,0.0
57,0.0,0.0012769244240341969,0.0,0.0026171763917594393,0.009345794392523364,0.0
58,0.0,0.0012552816371861595,0.0,0.002600131714999331,0.009345794392523364,0.0
59,0.0,0.0012343602765663903,0.0,0.0025833759597802194,0.009345794392523364,0.0
60,0.0,0.0012141248621964495,0.0,0.0025669033090378233,0.009345794392523364,0.0
61,0.0,0.0011945422031287647,0.0,0.0025507079088940557,0.009345794392523364,0.0
62,0.0064516129032258064,0.0012779877697969718,0.0,0.0026142982455915876,0.009345794392523364,0.0
63,0.0,0.001258019210893894,0.0,0.0025986316054397896,0.009345794392523364,0.0
64,0.0,0.001238665069187834,0.0,0.002583209043577978,0.009345794392523364,0.0
65,0.004081632653061225,0.001281740335610158,0.0,0.0025869807652948006,0.009345794392523364,0.0
66,0.0,0.001262609882839857,0.0,0.002572301726966934,0.009345794392523364,0.0
67,0.0,0.0012440420904451534,0.0,0.002557837044473171,0.009345794392523364,0.0
68,0.0,0.0012260124949314555,0.0,0.002543583215678158,0.009345794392523364,0.0
69,0.0,0.001208498030718149,0.0,0.0025295366836248197,0.009345794392523364,0.0
70,0.0,0.0011914769316939498,0.0,0.0025156938557665564,0.009345794392523364,0.0
71,0.0,0.0011749286409759782,0.0,0.0025020511204253424,0.009345794392523364,0.0
72,0.0,0.0011588337280858962,0.0,0.002488604860849021,0.009345794392523364,0.0
73,0.0,0.0011431738128414922,0.0,0.0024753514671893143,0.009345794392523364,0.0
74,0.0,0.001127931495336939,0.0,0.0024622873466778918,0.009345794392523364,0.0
75,0.0,0.0011130902914509267,0.0,0.0024494089322400427,0.009345794392523364,0.0
76,0.0,0.0010986345733801355,0.0,0.002436712689753167,0.009345794392523364,0.0
77,0.0,0.0010845495147470568,0.0,0.002424195124129521,0.009345794392523364,0.0
78,0.0,0.0010708210398768408,0.0,0.0024118527843787845,0.009345794392523364,0.0
79,0.0,0.0010574357768783804,0.0,0.002399682267785519,0.009345794392523364,0.0
