params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.1283022222222243,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.2444084938271516,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.2453621728395063,100,5.353098039215688,5.733333333333333,4.9411764705882355,5.733333333333333,0.39576144178085526
"{""discount_factor"": 0.3}",1.385491753086427,100,5.353098039215688,5.733333333333333,4.9411764705882355,5.733333333333333,0.39576144178085526
"{""discount_factor"": 0.4}",1.341757629629626,100,5.273882352941177,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3909757586210383
"{""discount_factor"": 0.5}",1.3521659259259309,100,5.2976470588235305,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39409306332458277
"{""discount_factor"": 0.6}",1.2667575308641972,100,5.4006274509803935,5.733333333333333,4.9411764705882355,5.733333333333333,0.3909757586210383
"{""discount_factor"": 0.7}",1.3920256790123489,100,5.28972549019608,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394544
"{""discount_factor"": 0.8}",1.4312387160493785,100,5.368941176470589,5.733333333333333,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.9}",1.724491456790119,100,5.329333333333334,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39599920776312103
