steps,time,reward,delta,converged
1,0.0010931358024635074,0.6666666666666666,0.3333333333333333,False
2,0.0008956049382646825,1.1266666666666665,0.13,False
3,0.0009098271604983665,1.4974666666666665,0.078,False
4,0.0008647901234439814,1.7913436666666664,0.05265,False
5,0.0008774320987612327,2.0311800766666663,0.03538349999999996,False
6,0.0008873086419782794,2.2323071509666663,0.024794099999999986,False
7,0.0008940246913482497,2.4033800294116663,0.01942245540000001,False
8,0.0009078518518492729,2.5508819161939966,0.015089390207999986,False
9,0.002379456790123413,2.6795569235916474,0.01171215738279005,False
10,0.00225619753085482,2.792733407575706,0.00944136580859102,False
11,0.002262518518520551,2.8928022884792632,0.007658333310526913,False
12,0.0030131358024760857,2.9814983770185632,0.006165888977370401,False
13,0.0010923456790123964,3.06014724923699,0.0051228527770079135,False
14,0.0015731358024737574,3.129894801183921,0.004244414964388328,False
15,0.001332543209869641,3.191860422897377,0.003495332361264175,False
16,0.001236543209884644,3.246839758144043,0.003019570238314756,False
17,0.0010307160493709944,3.2955252994958,0.0027077320083783753,False
18,0.0010749629629600577,3.338523607047404,0.0023850191840653727,False
19,0.0010587654321057016,3.376381450350258,0.0020875995280356073,False
20,0.0010674567901247656,3.4096144015081262,0.0018020005800950915,False
21,0.0009291851851855881,3.438717793004764,0.0015381761904199008,False
22,0.001143703703704091,3.46415294486198,0.0013127806480078413,False
23,0.0013704691357929732,3.4863015882721076,0.0011158089967912184,False
24,0.0010259753086501178,3.5055163754607306,0.0009408474573520918,False
25,0.0009366913580350911,3.5221216788088534,0.0007880965366398734,False
26,0.001001481481480937,3.536415164820256,0.0006635709501503773,False
27,0.0009422222222212895,3.548669871782142,0.0005558610633529977,False
28,0.0009315555555531319,3.5591425614422008,0.00046665324912531503,False
29,0.0009378765432046521,3.568064613737427,0.0003936660004391721,False
30,0.0009370864197535411,3.575652670806036,0.000330248160638192,False
31,0.0010508641975235378,3.5820974265679872,0.0002781214747130927,False
32,0.0010228148148030414,3.587555463501677,0.0002412264517709763,False
33,0.0016312098765354222,3.5921707161027467,0.00021318481006693448,False
34,0.0010342716049365208,3.596070706996952,0.0001867985806430295,False
35,0.0012436543209872752,3.5993610547559634,0.0001627328406883198,False
36,0.0012203456790018663,3.602131201990458,0.00014124779893645925,False
37,0.0011480493827207283,3.6044581849962176,0.00012200242930261469,False
38,0.0011306666666683896,3.6064086412741374,0.00010482426605419592,False
39,0.0010374320987551755,3.6080400751363637,8.959726987954435e-05,False
40,0.0012566913580229766,3.6094019655457465,7.620756741163071e-05,False
41,0.0010698271604923093,3.6105367376394994,6.452682722781541e-05,False
42,0.0011642469135750844,3.6114806336624925,5.441233528221453e-05,False
43,0.0010982716049454666,3.612264500765062,4.571286010253764e-05,False
44,0.001072592592592514,3.6129145026462886,3.827540007466778e-05,False
45,0.0010228148148172522,3.613452758396439,3.19509006423014e-05,False
46,0.0009276049382691554,3.6138979114485794,2.6598411419012646e-05,False
47,0.001007802469146668,3.6142656321912163,2.2087737671662097e-05,False
48,0.0009560493827081018,3.614569058589581,1.8300849475842706e-05,False
49,0.0010947160493799402,3.6148191797696283,1.5132352666044971e-05,False
50,0.0009398518518395349,3.615025167852318,1.2489297843807853e-05,False
51,0.0009509135802403534,3.6151946634061494,1.0290553408742048e-05,False
52,0.000921679012350296,3.6153340197663066,8.465916292519325e-06,True
