params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.0153204938271614,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.9854854320987698,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.940136296296302,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.0036566913580174,100,8.13008130081301e-05,0.0,0.0,0.008130081300813009,0.0008089328756964387
"{""discount_factor"": 0.4}",1.0320557037037048,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",1.0043674074074005,100,0.002871712387082801,0.0,0.0,0.02564102564102564,0.006180414058621924
"{""discount_factor"": 0.6}",0.9366925432098725,100,0.012210755855551677,0.012049941927990708,0.0,0.047619047619047616,0.01112955749519979
"{""discount_factor"": 0.7}",0.9160904691357956,100,0.008669179184963207,0.006601307189542484,0.0,0.05,0.010583344079258913
"{""discount_factor"": 0.8}",1.0585659259259188,100,0.011700719154726846,0.010929288103201148,0.0,0.047619047619047616,0.010921433033616462
"{""discount_factor"": 0.9}",1.0021554567901205,100,0.013670758462371868,0.012739370334307044,0.0,0.05,0.010278055621423128
