episode,length,time,reward,delta
85,16.0,0.0019764953894991777,84.0,0.0
86,14.0,0.0017477544670327916,86.0,0.0
87,14.0,0.001797137222638412,86.0,0.0
88,16.0,0.002013631220506795,84.0,0.0
89,16.0,0.0020017793594888644,84.0,0.0
90,16.0,0.0012373343115541502,84.0,0.0
91,14.0,0.0011393589247745695,86.0,0.0
92,14.0,0.0010986675351887243,86.0,0.0
93,16.0,0.0018145199519494781,84.0,0.0
94,14.0,0.001035852670611348,86.0,0.0
95,19.0,0.0014633097980549792,-18.0,0.0
96,14.0,0.0017777791827029432,86.0,0.0
97,18.0,0.0023308660383918323,82.0,0.0
98,16.0,0.002067754719973891,84.0,0.0
99,14.0,0.001084050239114731,86.0,0.0
100,14.0,0.0013305689517437713,86.0,0.0
101,15.0,0.0010362477323724306,85.0,0.0
102,16.0,0.0016683469966665143,84.0,0.0
103,20.0,0.0019468657364996034,80.0,0.0
104,14.0,0.0013459763722494245,86.0,0.0
105,15.0,0.0018670632034627488,85.0,0.0
106,14.0,0.0017532853362354217,86.0,0.0
107,14.0,0.001988742312278191,86.0,0.0
108,18.0,0.0030964962734287838,82.0,0.0
109,17.0,0.002060248541056353,83.0,0.0
110,19.0,0.002307557379026548,-18.0,0.0
111,15.0,0.0018504705985833425,85.0,0.0
112,16.0,0.0019358039990038378,84.0,0.0
113,14.0,0.001707458139208029,86.0,0.0
114,16.0,0.0019267175721324747,84.0,0.0
115,14.0,0.002168100478229462,86.0,0.0
116,16.0,0.0020456312458918546,84.0,0.0
117,16.0,0.001965038589332835,84.0,0.0
118,16.0,0.0019634583413790097,84.0,0.0
119,14.0,0.0017631618875384447,86.0,0.0
120,17.0,0.002072890526505944,83.0,0.0
121,14.0,0.0017256309929507552,86.0,0.0
122,16.0,0.00197214970648929,84.0,0.0
123,18.0,0.0016545198259336757,82.0,0.0
124,16.0,0.0016446432746306527,84.0,0.0
125,16.0,0.00253866867205943,84.0,0.0
126,14.0,0.0016600506942268112,86.0,0.0
127,14.0,0.0017959520364456694,86.0,0.0
128,18.0,0.0022530388177983696,82.0,0.0
129,14.0,0.0017449890328862239,86.0,0.0
130,16.0,0.001970569458535465,84.0,0.0
131,14.0,0.001680988982116105,86.0,0.0
132,14.0,0.0010113588241438265,86.0,0.0
133,18.0,0.002121088095009327,82.0,0.0
134,17.0,0.0020744707753692637,83.0,0.0
135,14.0,0.0017280013653362403,86.0,0.0
136,16.0,0.0018405940472803195,84.0,0.0
137,15.0,0.0010721983780968003,85.0,0.0
138,18.0,0.0012886923759651836,82.0,0.0
139,14.0,0.0012278528220122098,86.0,0.0
140,15.0,0.0018449397293807124,85.0,0.0
141,16.0,0.0020547176727632177,84.0,0.0
142,17.0,0.001629630916795577,83.0,0.0
143,16.0,0.001984396630177798,84.0,0.0
144,18.0,0.002194569635321386,82.0,0.0
145,16.0,0.001957532410415297,84.0,0.0
146,14.0,0.0017501248394182767,86.0,0.0
147,20.0,0.0024189648747778847,80.0,0.0
148,14.0,0.0017268161791434977,86.0,0.0
149,16.0,0.001955162038029812,84.0,0.0
150,14.0,0.0016865198513187352,86.0,0.0
