episode,length,time,reward,delta
0,500.0,0.029359012345594238,-3570.0,-0.0038788314349860187
1,500.0,0.027991703703719395,-2679.0,-0.3701835741639147
2,119.0,0.007127308641884156,-613.0,99.99948148240534
3,44.0,0.002449382715894899,56.0,9.999948148240534
4,26.0,0.0015395555551549478,74.0,0.9999948148240492
5,23.0,0.0014601481479985523,77.0,0.09999948148239923
6,124.0,0.007028543209798954,-816.0,0.009999948148234239
7,59.0,0.00328888888907386,-157.0,0.0009999948148191606
8,26.0,0.0014885925925227639,74.0,9.999948147765281e-05
9,55.0,0.004528592592578207,-252.0,9.99994814776528e-06
10,33.0,0.001973728395114449,67.0,9.999948105132717e-07
11,24.0,0.0013297777777552255,-23.0,9.999948247241264e-08
12,39.0,0.00253827160486253,-38.0,9.999951089412207e-09
13,18.0,0.001058370370628836,-17.0,9.999894245993346e-10
14,74.0,0.004152493826950376,-271.0,1.000017846308765e-10
15,16.0,0.0009422222219654941,84.0,1.000444171950221e-11
16,17.0,0.0009967407404474216,83.0,9.947598300641403e-13
17,30.0,0.0017165432100227918,-29.0,9.947598300641403e-14
18,59.0,0.0034966913581229164,-355.0,1.4210854715202004e-14
19,14.0,0.0009232592597072653,86.0,0.0
20,42.0,0.0031249382714122476,-41.0,0.0
21,59.0,0.003644839506250719,-157.0,0.0
22,22.0,0.0012594567901942355,78.0,0.0
23,21.0,0.0011685925924211915,79.0,0.0
24,25.0,0.0014135308642835298,-123.0,0.0
25,31.0,0.001762370370215649,-30.0,0.0
26,15.0,0.0009260246911253489,85.0,0.0
27,20.0,0.0011227654322283342,-19.0,0.0
28,25.0,0.0020092839508834004,-24.0,0.0
29,22.0,0.0013803456790810742,78.0,0.0
30,25.0,0.0029179259258853563,75.0,0.0
31,29.0,0.0017232592595064489,-28.0,0.0
32,14.0,0.000814222222288663,86.0,0.0
33,26.0,0.0015391604938486125,-124.0,0.0
34,46.0,0.0026271604938301607,-144.0,0.0
35,44.0,0.0028954074073226366,-43.0,0.0
36,20.0,0.0012084938271073042,80.0,0.0
37,52.0,0.0028270617281123123,-51.0,0.0
38,17.0,0.001102617283777363,-16.0,0.0
39,16.0,0.0009102222220462863,84.0,0.0
40,19.0,0.001558913580083754,81.0,0.0
41,16.0,0.0009169382715299434,84.0,0.0
42,30.0,0.0017370864197800984,-29.0,0.0
43,38.0,0.0021487407407221326,-37.0,0.0
44,22.0,0.0013752098761870002,78.0,0.0
45,16.0,0.0010469135800121876,84.0,0.0
46,14.0,0.0008110617282000021,86.0,0.0
47,19.0,0.0016173827157217602,81.0,0.0
48,18.0,0.0010133333335033967,82.0,0.0
49,30.0,0.0017118024693445477,-29.0,0.0
50,18.0,0.001012938271742314,82.0,0.0
51,19.0,0.0011105185185442679,-18.0,0.0
52,22.0,0.0012886913582406123,-21.0,0.0
53,34.0,0.0018121481480193324,-33.0,0.0
54,16.0,0.00098409876545702,84.0,0.0
55,38.0,0.0023640493827770115,-37.0,0.0
56,16.0,0.0011804444447989226,84.0,0.0
57,52.0,0.0028416790123628743,-249.0,0.0
58,37.0,0.0020021728396386607,-135.0,0.0
59,17.0,0.0010192592590101412,83.0,0.0
60,76.0,0.004146172839682549,-273.0,0.0
61,17.0,0.0010492839505786833,-16.0,0.0
62,21.0,0.0010974814813380362,79.0,0.0
63,18.0,0.0011211851851840038,82.0,0.0
64,14.0,0.001051259258929349,86.0,0.0
65,21.0,0.0012349629628261027,-20.0,0.0
66,20.0,0.0010959012342937058,80.0,0.0
67,20.0,0.0011014320989488624,80.0,0.0
68,17.0,0.001096691357815871,83.0,0.0
69,17.0,0.0009070617284123728,-16.0,0.0
70,17.0,0.000910617283807369,83.0,0.0
71,19.0,0.0010046419756690739,81.0,0.0
72,21.0,0.0012942222219862742,79.0,0.0
73,14.0,0.0007656296297682275,86.0,0.0
74,23.0,0.0013033086415816797,77.0,0.0
75,35.0,0.0021380740740823967,-34.0,0.0
76,47.0,0.0028460246912800358,-244.0,0.0
77,50.0,0.0029649382718162087,-247.0,0.0
78,42.0,0.0023506172838096973,-140.0,0.0
79,16.0,0.0009355061729365843,84.0,0.0
80,55.0,0.002957827160571469,-153.0,0.0
81,16.0,0.0009098271602852037,84.0,0.0
82,39.0,0.002290962962888443,-38.0,0.0
83,20.0,0.001059160493696254,80.0,0.0
84,30.0,0.0018477037037882837,-29.0,0.0
