episode,length,time,reward,delta
0,25.0,0.0017181234568397485,0.0,-0.0008031251353195376
1,23.0,0.0012958024691442915,0.0,-0.0007126657785599113
2,11.0,0.0006755555555173487,0.0,-0.0005594064870093738
3,78.0,0.00409086419756477,0.0,-0.0008118767807708681
4,50.0,0.002589234567835774,0.0,-0.0005401967769730526
5,12.0,0.0006467160493457413,0.0,2.134884160037671e-05
6,77.0,0.004015012345689684,0.0,-0.0007858004955467287
7,111.0,0.005761185185178874,0.0,5.898919709327105e-05
8,46.0,0.0025066666667044046,0.0,-0.00010235558702537502
9,7.0,0.0004065185185027076,0.0,5.898919709327092e-06
10,22.0,0.0011697777778181262,0.0,0.0001726378918941092
11,46.0,0.002286222222210199,0.0,0.00018966167135968636
12,29.0,0.001468444444412853,0.0,-0.000801160134884282
13,70.0,0.0038585679012612673,0.0,0.00018944116516943818
14,7.0,0.00040375308640250296,0.0,1.896616713596862e-05
15,14.0,0.0007407407407526989,0.0,0.00018414644362125927
16,25.0,0.0012792098765430637,0.0,-0.000655331738642545
17,12.0,0.0006455308642898672,0.0,-0.0001910018111961753
18,15.0,0.0007920987653733391,0.0,0.0001704367111151619
19,12.0,0.0006447407407677019,0.0,0.00015027453316284717
20,16.0,0.0011563456789644988,0.0,0.0001702840520148984
21,25.0,0.0012973827160749352,0.0,-0.00018245974189679755
22,26.0,0.0014443456790331766,0.0,-1.0235558702537508e-05
23,7.0,0.0004053333333331466,0.0,0.00013805155191357277
24,5.0,0.00030617283948686236,0.0,3.103736087269099e-05
25,21.0,0.0010804938270894127,0.0,-0.0006341127095092372
26,9.0,0.0004981728394568563,0.0,0.00021143067712974732
27,18.0,0.0009331358024837755,0.0,9.288878204733705e-05
28,23.0,0.0013040987653312186,0.0,-1.9100181119617517e-05
29,17.0,0.0010955061727599968,0.0,-8.031251353195378e-05
30,20.0,0.0010350617283165775,0.0,0.00013011845637411366
31,11.0,0.0005949629629640185,0.0,0.00021567090313318545
32,11.0,0.0005933827160333749,0.0,-1.3752151962672846e-05
33,65.0,0.0031968395062449417,0.0,3.0977798078405484e-05
34,20.0,0.0010212345678155543,0.0,0.00020378742564318216
35,8.0,0.0005728395061623814,0.0,2.0378742564318208e-05
36,25.0,0.0017576296296510918,0.0,0.00018648854195492916
37,58.0,0.0033481481481203446,0.0,8.64628031987297e-05
38,27.0,0.0014423703703414503,0.0,0.00020461487227507326
39,47.0,0.0028626172839949504,0.0,-1.0235558702537508e-06
40,110.0,0.005972148148089218,0.0,0.00022119660632897184
41,45.0,0.0025418271604848997,0.0,0.00013245035211846724
42,24.0,0.0014174814815532955,0.0,0.00022332360262158245
43,33.0,0.0018781234567768479,0.0,-0.0003152958077268623
44,10.0,0.0005771851851932297,0.0,0.00021886278751126332
45,9.0,0.0009327407407226929,0.0,-7.966399855589167e-05
46,20.0,0.0010966913579295579,0.0,-1.3752151962672927e-06
47,19.0,0.0010785185185113733,0.0,3.0977798078405484e-06
48,5.0,0.000376888888808935,0.0,3.097779807840562e-07
49,23.0,0.0013854814815204008,0.0,9.157954822361827e-05
50,34.0,0.0020480000000588916,0.0,0.00019954144539475864
51,16.0,0.0009833086419348547,0.0,0.00022441475559647713
52,9.0,0.0005357037036901602,0.0,2.9421190885815226e-05
53,12.0,0.001283555555573912,0.0,0.00020156365554639167
54,13.0,0.000732444444452085,0.0,0.00017069037799430996
55,9.0,0.0005285925925591073,0.0,2.2441475559647703e-05
56,38.0,0.0022214320987359315,0.0,0.00021819472647140956
57,26.0,0.0013977283950907804,0.0,0.00019246859387922079
58,9.0,0.000604839506195276,0.0,1.924685938792207e-05
59,19.0,0.0010370370371219906,0.0,2.9238933107874815e-05
60,30.0,0.001603160493800715,0.0,0.0001923397050543412
61,37.0,0.00203851851847503,0.0,2.923893310787483e-06
62,11.0,0.000635259259297527,0.0,0.0002206243860449278
63,14.0,0.0008039506172963229,0.0,0.00020022627360866152
64,44.0,0.002605827160550689,0.0,5.4503426098501795e-05
65,12.0,0.0006431604938370583,0.0,0.00020468680938976955
66,8.0,0.0004499753085838165,0.0,2.046868093897694e-05
67,21.0,0.0011164444445057597,0.0,1.923397050543411e-05
68,7.0,0.0003970370370325327,0.0,-9.91873680016768e-06
69,16.0,0.0008288395061981646,0.0,-6.339591310235956e-05
70,30.0,0.001646222222234428,0.0,0.0001748430206129085
71,27.0,0.0013740246913584997,0.0,2.8056183680766645e-05
72,19.0,0.0015439012346405434,0.0,7.226790578558094e-05
73,25.0,0.0020456296296060827,0.0,0.00019349461650243827
74,11.0,0.0009347160494144191,0.0,0.00022344548511806856
75,13.0,0.0007502222222228738,0.0,9.168737472592061e-05
76,33.0,0.0018390123457265872,0.0,8.093410903987661e-05
77,18.0,0.001000296296297165,0.0,8.093410903987653e-06
78,10.0,0.000580345679054517,0.0,2.2344548511806845e-05
79,10.0,0.0005795555555323517,0.0,0.00022396745788420434
80,4.0,0.00026982716053680633,0.0,2.2344548511806926e-06
81,7.0,0.00042390123462610063,0.0,0.00013367509448681516
82,29.0,0.0015427160493572956,0.0,-6.3395913102359455e-06
83,14.0,0.0007873580246950951,0.0,0.00022131061932003935
84,18.0,0.000996740740788482,0.0,8.093410903987626e-07
85,33.0,0.001794765432123313,0.0,8.093410903987355e-08
86,28.0,0.001487012345705807,0.0,7.226790578558092e-06
87,13.0,0.0007249382716736363,0.0,7.879313950879354e-05
88,24.0,0.0012780246913735027,0.0,0.00022482893065717765
89,14.0,0.000733629629621646,0.0,0.00017477975499405503
90,13.0,0.0009161481481214651,0.0,0.00020509176153422012
91,7.0,0.0004069135802637902,0.0,0.00022017070446477991
92,20.0,0.0012104691357990305,0.0,0.00011727622640391412
93,13.0,0.0006854320987486062,0.0,0.00022190258833241206
94,6.0,0.0003500246913290539,0.0,0.0002216366735746733
95,17.0,0.000878617284001848,0.0,2.2190258833241193e-05
96,16.0,0.0008355555555681349,0.0,0.00022184021638935956
97,14.0,0.0007363950617218507,0.0,-0.00011092812636268588
98,21.0,0.0010678518518716373,0.0,8.85503963164418e-05
99,19.0,0.0009750123457479276,0.0,0.00018998075038708265
100,11.0,0.000632888888958405,0.0,9.209418450529208e-05
101,5.0,0.0003922962962406018,0.0,1.8998075038708262e-05
102,20.0,0.0011030123456521324,0.0,0.00020043050215218946
