step,reward,mean,median,std,max,min
0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
1,5.733333333333333,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
2,5.733333333333333,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
3,5.733333333333333,4.05,5.733333333333333,2.91561885940761,5.733333333333333,-1.0
4,-1.0,3.04,5.733333333333333,3.298646186948013,5.733333333333333,-1.0
5,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
6,5.733333333333333,2.8476190476190477,5.733333333333333,3.3321358393229827,5.733333333333333,-1.0
7,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
8,-1.0,1.9925925925925927,-1.0,3.345820232999685,5.733333333333333,-1.0
9,-1.0,1.6933333333333334,-1.0,3.298646186948013,5.733333333333333,-1.0
10,-1.0,1.4484848484848485,-1.0,3.2390409990002866,5.733333333333333,-1.0
11,-1.0,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
12,-1.0,1.0717948717948718,-1.0,3.1076923076923078,5.733333333333333,-1.0
13,5.733333333333333,1.4047619047619049,-1.0,3.226326653249697,5.733333333333333,-1.0
14,5.733333333333333,1.6933333333333336,-1.0,3.298646186948013,5.733333333333333,-1.0
15,5.733333333333333,1.9458333333333333,-1.0,3.3402610302190454,5.733333333333333,-1.0
16,5.733333333333333,2.168627450980392,-1.0,3.3608369364631203,5.733333333333333,-1.0
17,-1.0,1.9925925925925927,-1.0,3.345820232999685,5.733333333333333,-1.0
18,-1.0,1.8350877192982455,-1.0,3.324435029769589,5.733333333333333,-1.0
19,-1.0,1.6933333333333334,-1.0,3.298646186948013,5.733333333333333,-1.0
20,5.733333333333333,1.8857142857142857,-1.0,3.3321358393229827,5.733333333333333,-1.0
21,-1.0,1.7545454545454546,-1.0,3.3105516256532987,5.733333333333333,-1.0
22,-1.0,1.6347826086956523,-1.0,3.286151270123201,5.733333333333333,-1.0
23,5.733333333333333,1.8055555555555554,-1.0,3.3195781005170066,5.733333333333333,-1.0
24,-1.0,1.6933333333333331,-1.0,3.2986461869480133,5.733333333333333,-1.0
25,-1.0,1.5897435897435896,-1.0,3.275795319764167,5.733333333333333,-1.0
26,-1.0,1.493827160493827,-1.0,3.25155280457021,5.733333333333333,-1.0
27,-1.0,1.4047619047619047,-1.0,3.2263266532496964,5.733333333333333,-1.0
28,-1.0,1.32183908045977,-1.0,3.20043430795658,5.733333333333333,-1.0
29,5.733333333333333,1.4688888888888887,-1.0,3.2447556928331043,5.733333333333333,-1.0
30,-1.0,1.389247311827957,-1.0,3.221660418050159,5.733333333333333,-1.0
31,-1.0,1.3145833333333332,-1.0,3.198056457313827,5.733333333333333,-1.0
32,5.733333333333333,1.4484848484848485,-1.0,3.2390409990002866,5.733333333333333,-1.0
33,5.733333333333333,1.5745098039215686,-1.0,3.272144854564096,5.733333333333333,-1.0
34,5.733333333333333,1.6933333333333334,-1.0,3.298646186948013,5.733333333333333,-1.0
35,-1.0,1.6185185185185185,-1.0,3.2824866782466824,5.733333333333333,-1.0
36,5.733333333333333,1.7297297297297298,-1.0,3.3058668731226666,5.733333333333333,-1.0
37,-1.0,1.6578947368421053,-1.0,3.2912135749503113,5.733333333333333,-1.0
