episode,length,time,reward,delta
0,500.0,0.03299120987639981,-2580.0,-0.5098674371661002
1,500.0,0.03009580246907717,-2481.0,-0.43428498587551034
2,500.0,0.03554172839540115,-2778.0,-0.4058017203098253
3,500.0,0.03054617283942207,-2580.0,-0.01616572831876395
4,500.0,0.03139120987634669,-2580.0,-0.04500014194446278
5,500.0,0.03150617283972679,-3570.0,-4.265538333829824
6,500.0,0.04228069135797341,-2481.0,-0.11437611175921503
7,500.0,0.03844543209879703,-2778.0,-0.10955858763928639
8,500.0,0.03266251851846391,-3174.0,-0.0002901958600753929
9,500.0,0.0301238518518403,-2877.0,-0.037798421789959846
10,500.0,0.03131733333339071,-2283.0,-0.0045809768821349905
11,500.0,0.030245530864249304,-2877.0,-0.038431417434126036
12,289.0,0.016905086419683357,-1278.0,100.0
13,214.0,0.012280493827347527,-906.0,90.0
14,308.0,0.01773471604929,-1792.0,81.0
15,462.0,0.027704098765298113,-2045.0,72.9
16,209.0,0.013451061728119384,-1000.0,65.61
17,289.0,0.017757629629613803,-1278.0,59.049
18,331.0,0.018361679012286913,-1518.0,53.1441
19,167.0,0.009323061728082394,-661.0,47.82969
20,409.0,0.02534123456780435,-1794.0,43.046721
21,18.0,0.001173333333554183,82.0,38.7420489
22,121.0,0.006754370370799734,-417.0,34.86784401
23,474.0,0.027685530863891472,-2354.0,31.381059609000005
24,108.0,0.006571061728209315,-404.0,28.2429536481
25,159.0,0.010405925926079362,-653.0,25.41865828329
26,88.0,0.005082864197447634,-186.0,22.876792454961006
27,78.0,0.004571259259591898,-176.0,20.589113209464898
28,22.0,0.0012705185181403067,-21.0,18.530201888518405
29,16.0,0.0010050370369754091,84.0,16.677181699666562
30,103.0,0.00605392592615317,-300.0,15.0094635296999
31,22.0,0.0012989629631192656,78.0,13.50851717672991
32,42.0,0.0022502716051349125,-41.0,12.157665459056915
33,99.0,0.005556938271638501,-296.0,10.94189891315122
34,212.0,0.011986172839442588,-1003.0,9.847709021836096
35,87.0,0.0046984691357465636,-284.0,8.862938119652483
