steps,time,reward,delta,converged
1,0.005131456790422817,0.44285714285714284,100.0,False
2,0.041189925925664284,-3.7664670658682633,100.0,False
3,0.04431209876565845,-1.9880239520958083,100.0,False
4,0.032995555555771716,-1.7904191616766467,100.0,False
5,0.03631565432078787,-1.3952095808383234,100.0,False
6,0.03720138271637552,-1.0,100.0,False
7,0.03179456790121549,-1.3952095808383234,100.0,False
8,0.033410370370347664,-1.0,100.0,False
9,0.03737718518550537,-1.0,100.0,False
10,0.04265876543240665,-1.3952095808383234,100.0,False
11,0.027868839506027143,-1.3952095808383234,100.0,False
12,0.02880632098776914,-1.1976047904191616,100.0,False
13,0.02904375308617091,-1.1976047904191616,100.0,False
14,0.03221451851868551,-1.0,100.0,False
15,0.030500740740535548,-1.7904191616766467,100.0,False
16,0.033404839506147255,-1.1976047904191616,100.0,False
17,0.03535012345719224,-1.0,100.0,False
18,0.03203476543239958,-1.1976047904191616,100.0,False
19,0.031742024691084225,-1.0,100.0,False
20,0.03190360493817934,-1.0,100.0,False
21,0.03373945679004464,-1.1976047904191616,100.0,False
22,0.03483614814831526,-1.0,100.0,False
23,0.03307219753060053,-1.0,100.0,False
24,0.03246301234594284,-1.0,100.0,False
25,0.028658172839641338,-1.0,100.0,False
26,0.03654518518533223,-1.1976047904191616,100.0,False
27,0.030962567901042348,-1.0,100.0,False
28,0.03215012345663126,-1.0,100.0,False
29,0.03140661728411942,-1.1976047904191616,100.0,False
30,0.02840928395062292,-1.0,100.0,False
31,0.028921679012000823,-1.0,100.0,False
32,0.029079703703700943,-1.0,100.0,False
33,0.02931555555551313,-1.0,100.0,False
34,0.030715654320829344,-1.0,100.0,False
35,0.029265777778164193,-1.0,100.0,False
36,0.030514172839502862,-1.1976047904191616,100.0,False
37,0.02936651851860006,-1.1976047904191616,100.0,False
38,0.028890074073842698,-1.1976047904191616,100.0,False
39,0.029118419753103808,-1.0,100.0,False
40,0.029147259258934355,-1.0,100.0,False
41,0.028763259259449114,-1.0,100.0,False
42,0.03201580246923186,-1.0,100.0,False
43,0.029934617284197884,-1.0,100.0,False
44,0.034978765431787906,-1.0,100.0,False
45,0.029944888889076537,-1.0,100.0,False
46,0.030338765432134096,-1.0,100.0,False
47,0.028033185185449838,-1.0,100.0,False
48,0.028066370370652294,-1.0,100.0,False
49,0.028381234567859792,-1.0,100.0,False
50,0.027755061728385044,-1.1976047904191616,100.0,False
51,0.027521975308900437,-1.0,100.0,False
52,0.03455683950596722,-1.1976047904191616,100.0,False
53,0.03123318518510132,-1.0,100.0,False
54,0.044145382716124004,-1.0,100.0,False
55,0.03093767901236788,-1.0,100.0,False
56,0.03242113580245132,-1.0,100.0,False
57,0.03731516049356287,-1.0,100.0,False
58,0.04296770370365266,-1.0,100.0,False
59,0.03147693827168041,-1.0,100.0,False
60,0.03098864197545481,-1.0,100.0,False
61,0.03136790123426181,-1.0,100.0,False
62,0.034032987654427416,-1.0,100.0,False
63,0.03491239506183774,-1.0,100.0,False
64,0.035815506173094036,-1.0,100.0,False
