episode,length,time,reward,delta
0,500.0,0.029711012346069765,-2481.0,-0.16240027205101248
1,281.0,0.017194271604694222,-1171.0,100.00044667875616
2,45.0,0.0028397037035574613,55.0,10.000044667875613
3,29.0,0.0018710123454184213,-28.0,1.0000044667875585
4,185.0,0.011844740740798443,-283.0,0.10000044667876296
5,49.0,0.003299950617019931,51.0,0.010000044667876296
6,52.0,0.0037309629628907715,48.0,0.0010000044667890506
7,46.0,0.0030897777778591262,-45.0,0.00010000044667890506
8,29.0,0.0018556049381004414,71.0,1.0000044667890506e-05
9,23.0,0.0016304197529279918,77.0,1.0000044596836233e-06
10,30.0,0.001746962962897669,70.0,1.0000044881053327e-07
11,23.0,0.0014265679014897614,77.0,1.0000050565395213e-08
12,26.0,0.0015162469135248102,74.0,1.0000036354540498e-09
13,18.0,0.0011749135805985134,82.0,1.000017846308765e-10
14,18.0,0.001029530864343542,82.0,1.000444171950221e-11
15,37.0,0.0020365432096696168,63.0,9.947598300641403e-13
16,18.0,0.001152000000274711,82.0,9.947598300641403e-14
17,16.0,0.000943407407248742,84.0,1.4210854715202004e-14
18,14.0,0.0008150123458108283,86.0,0.0
19,22.0,0.0012744691357511329,78.0,0.0
20,18.0,0.0012199506172692054,82.0,0.0
21,15.0,0.0008730864196877519,85.0,0.0
22,16.0,0.0009177283950521087,84.0,0.0
23,14.0,0.0009200987656186044,86.0,0.0
24,27.0,0.0018911604938693927,-26.0,0.0
25,16.0,0.0013740246913584997,84.0,0.0
26,14.0,0.0008505679011250322,86.0,0.0
27,16.0,0.0010346666667828686,84.0,0.0
28,16.0,0.000982913580173772,84.0,0.0
29,14.0,0.0007834074076527031,86.0,0.0
30,14.0,0.0008493827158417844,86.0,0.0
31,14.0,0.0008059259257606755,86.0,0.0
32,31.0,0.0017884444446281123,-129.0,0.0
33,14.0,0.0008513580246471975,86.0,0.0
34,16.0,0.0009410370371369936,84.0,0.0
35,21.0,0.0012689382715507236,79.0,0.0
36,14.0,0.0008213333330786554,86.0,0.0
37,21.0,0.001206123456995556,-20.0,0.0
38,14.0,0.0008327901232405566,86.0,0.0
39,14.0,0.0008316049384120561,86.0,0.0
40,23.0,0.0013143703704372456,-121.0,0.0
41,14.0,0.0008304197526740609,86.0,0.0
42,15.0,0.0008817777775220748,85.0,0.0
43,14.0,0.0008260740742116468,86.0,0.0
44,19.0,0.001074567901014234,-18.0,0.0
45,42.0,0.00231348148190591,-140.0,0.0
46,16.0,0.0009003456789287156,84.0,0.0
47,16.0,0.0008829629628053226,84.0,0.0
48,16.0,0.0008983703701233026,84.0,0.0
49,14.0,0.0007877530865698645,86.0,0.0
50,24.0,0.001440395061763411,76.0,0.0
51,14.0,0.000948543210142816,86.0,0.0
52,14.0,0.0007928888885544438,86.0,0.0
53,30.0,0.001729975308990106,-29.0,0.0
54,14.0,0.0008426666668128746,86.0,0.0
55,99.0,0.005400493827437458,-395.0,0.0
56,14.0,0.0007707654322075541,86.0,0.0
57,14.0,0.0008438518520961225,86.0,0.0
58,19.0,0.001048493827056518,-18.0,0.0
59,14.0,0.0008363456790903001,86.0,0.0
60,15.0,0.0008375308639188006,85.0,0.0
61,14.0,0.0007885432096372824,86.0,0.0
62,20.0,0.0010919506175923743,-19.0,0.0
63,14.0,0.0009825185184126894,86.0,0.0
64,20.0,0.00116424691350403,80.0,0.0
65,14.0,0.0008312098766509735,86.0,0.0
66,16.0,0.0009240493827746832,84.0,0.0
67,53.0,0.002881580247048987,-52.0,0.0
68,14.0,0.0008474074070363713,86.0,0.0
69,14.0,0.0007841975311748683,86.0,0.0
70,14.0,0.0008588641971982724,86.0,0.0
71,14.0,0.0008237037040998985,86.0,0.0
72,16.0,0.0008805925926935743,84.0,0.0
73,18.0,0.001062320987784915,82.0,0.0
74,18.0,0.000995555555618921,82.0,0.0
75,19.0,0.0010346666667828686,81.0,0.0
76,16.0,0.0008877037034835666,84.0,0.0
77,14.0,0.0009165432097688608,86.0,0.0
78,21.0,0.001169382716398104,-20.0,0.0
79,14.0,0.0008813827162157395,86.0,0.0
80,14.0,0.0008537283947589458,86.0,0.0
81,28.0,0.0016098765431706852,72.0,0.0
82,14.0,0.0008272592590401473,86.0,0.0
83,67.0,0.0036693333331641043,-165.0,0.0
84,14.0,0.0008343703707396344,86.0,0.0
85,14.0,0.0008225185183619033,86.0,0.0
86,38.0,0.002152296296571876,-136.0,0.0
87,14.0,0.0007822222223694553,86.0,0.0
88,16.0,0.0009311604940194229,84.0,0.0
89,15.0,0.0008533333334526105,85.0,0.0
90,15.0,0.0008643950613986817,85.0,0.0
91,30.0,0.0017943703705896041,-29.0,0.0
92,29.0,0.001752888888859161,-28.0,0.0
93,19.0,0.0010733827161857334,81.0,0.0
94,14.0,0.0008367407408513827,86.0,0.0
95,14.0,0.000784197530720121,86.0,0.0
96,14.0,0.0008418765432907094,86.0,0.0
97,14.0,0.0008564938270865241,86.0,0.0
98,14.0,0.000814222222288663,86.0,0.0
99,28.0,0.0015071604939294048,-27.0,0.0
100,18.0,0.0011156543209835945,82.0,0.0
101,26.0,0.0013771851854471606,-25.0,0.0
102,16.0,0.0010105679011758184,84.0,0.0
103,14.0,0.0007478518514290045,86.0,0.0
104,14.0,0.0007525925925619958,86.0,0.0
105,14.0,0.0007849876542422862,86.0,0.0
106,14.0,0.0007525925925619958,86.0,0.0
107,14.0,0.0007518024690398306,86.0,0.0
108,17.0,0.0009359012342429196,83.0,0.0
109,27.0,0.0015277037036867114,-125.0,0.0
110,22.0,0.001289086420001695,-21.0,0.0
111,14.0,0.0007849876542422862,86.0,0.0
112,14.0,0.0008205432100112375,86.0,0.0
113,14.0,0.0007940740738376917,86.0,0.0
114,14.0,0.0008612345677647681,86.0,0.0
115,16.0,0.0009426172841813241,84.0,0.0
116,14.0,0.0008632098765701812,86.0,0.0
117,16.0,0.0009995061727749999,84.0,0.0
118,18.0,0.0010358518520661164,82.0,0.0
119,14.0,0.0008276543212559773,86.0,0.0
120,30.0,0.0016248888887275825,-29.0,0.0
121,14.0,0.0007861728395255341,86.0,0.0
122,15.0,0.0009114074073295342,85.0,0.0
123,14.0,0.0011196049381396733,86.0,0.0
124,68.0,0.005507160493834817,-67.0,0.0
125,14.0,0.0008011851850824314,86.0,0.0
126,28.0,0.0015277037036867114,-27.0,0.0
127,17.0,0.0009548641978653905,83.0,0.0
