episode,length,time,reward,delta
0,49.0,0.003379358024631074,0.0,-0.0003570074024344076
1,9.0,0.00053925925931253,0.0,-0.00020185285935197866
2,32.0,0.0017880493828670296,0.0,-6.27163049295176e-05
3,15.0,0.0009524938270715211,0.0,-0.00013297185307338825
4,20.0,0.0011753086419048486,0.0,-0.0004952062076184454
5,25.0,0.0014565925926035561,0.0,0.00018398862958846106
6,14.0,0.000914962962951904,0.0,0.00023509251995729858
7,29.0,0.0016383209876948968,0.0,-3.2639577604911055e-05
8,55.0,0.00285945679024735,0.0,2.3509251995729847e-05
9,7.0,0.0005040987653046614,0.0,0.00033825423155987204
10,30.0,0.0015885432098912133,0.0,0.00019483222545873754
11,33.0,0.0017323456791018543,0.0,1.9483222545873754e-05
12,18.0,0.0010488888888176007,0.0,0.00011821088251704696
13,43.0,0.002204444444487308,0.0,0.0002985218810035937
14,108.0,0.005867456790156211,0.0,-0.00015223584261931332
15,12.0,0.0006403950617368537,0.0,1.94832225458737e-06
16,7.0,0.0003978271604410111,0.0,1.9483222545875869e-07
17,99.0,0.005445135802574441,0.0,-8.763256060230961e-05
18,19.0,0.0010682469135190331,0.0,7.020382081743563e-05
19,29.0,0.0020657777777159936,0.0,0.00026898901155274744
20,66.0,0.0035227654320806323,0.0,0.00019835749215797385
21,52.0,0.002601086419645071,0.0,0.0003358194122219795
22,26.0,0.0020345679010915774,0.0,0.0002851275394373058
23,54.0,0.00975644444451973,0.0,-0.00011230409568148685
24,15.0,0.0020096790121897357,0.0,-0.00019731034919500616
25,44.0,0.0062743703704200016,0.0,0.00037652436176545607
26,21.0,0.0017276049384236103,0.0,-1.83965292280802e-05
27,30.0,0.002510222222099401,0.0,-0.00024216501767039393
28,41.0,0.0032754567901065457,0.0,0.0003787705625327698
29,81.0,0.006423308642069969,0.0,-4.9102850756155606e-05
30,5.0,0.0005139753086496057,0.0,3.765243617654562e-05
31,46.0,0.0029629629630107956,0.0,-0.00032626885868443427
32,47.0,0.0026978765431522334,0.0,7.43571844704445e-05
33,6.0,0.0004045432099246682,0.0,0.00036656365977857203
34,6.0,0.0003772839504563308,0.0,0.0003747682370374228
35,43.0,0.0022490864198516647,0.0,4.03030267326899e-05
36,21.0,0.0013752098764143739,0.0,0.00031101601808374685
37,20.0,0.001084839506120261,0.0,0.00030895980318858653
38,10.0,0.0006151111110739294,0.0,0.0003819204516162516
39,27.0,0.0018631111111062637,0.0,-0.00028589203830160206
40,8.0,0.00047565432100782346,0.0,0.00032914822461750783
41,7.0,0.0005088395062102791,0.0,0.00030718106309653213
42,19.0,0.0010706172840855288,0.0,-8.763256060230972e-06
43,32.0,0.0021033086418356106,0.0,0.0004022820795244831
44,54.0,0.0031798518518826313,0.0,0.00039868405365605145
45,50.0,0.002875654321087495,0.0,0.0002039725951389484
46,23.0,0.0012464197532153776,0.0,0.0002971288593730587
47,45.0,0.002595160493910953,0.0,-2.421650176703935e-05
48,24.0,0.001543506172765774,0.0,-2.353891672768018e-05
49,22.0,0.0012685432100170146,0.0,0.0002896710011964954
50,50.0,0.0030463209875506436,0.0,0.0004067319816295782
51,23.0,0.001326617284121312,0.0,4.06731981629578e-05
52,6.0,0.0003737283950613346,0.0,4.067319816295802e-06
53,11.0,0.0007901234569089866,0.0,0.000297202478955508
