steps,time,reward,delta,converged
1,0.005067456790129654,0.0,0,False
2,0.007405037036960493,0.0,0,False
3,0.004137086419632396,0.0,0,False
4,0.004893629629577845,0.0,0,False
5,0.0047766913580744585,0.0,0,False
6,0.0018844444446131092,0.0,0,False
7,0.010074469135815889,0.0,0,False
8,0.012511209876720386,0.0,0,False
9,0.006664296296321481,0.0,0,False
10,0.0044515555555335595,0.0,0,False
11,0.00282824691339556,0.0,0,False
12,0.0025690864197258634,0.0,0,False
13,0.002043259259153274,0.0,0,False
14,0.005198222222361437,0.0,0,False
15,0.008311703703611784,0.0,0,False
16,0.006752790123300656,0.0,0,False
17,0.005847308641932614,0.0,0,False
18,0.003935604938305914,0.0,0,False
19,0.030395259259194063,0.0,0,False
20,0.003112296296421846,0.0,0,False
21,0.015472987654447934,0.0,0,False
22,0.016319604938189514,0.0,0,False
23,0.004999506172907786,0.0,0,False
24,0.0046131358024013025,0.0,0,False
25,0.016399012345573283,0.0,0,False
26,0.012639604938385673,0.0,0,False
27,0.028676345679059523,0.0,0,False
28,0.005900246913597584,0.0,0,False
29,0.014686024691400235,0.0,0,False
30,0.007228444444535853,0.0,0,False
31,0.003106765431994063,0.0,0,False
32,0.010650074074192162,0.0,0,False
33,0.016456691357916498,0.0,0,False
34,0.013729580246945261,0.0,0,False
35,0.007417679012405642,0.0,0,False
36,0.015590716049473485,0.0,0,False
37,0.029042172839581326,0.0,0,False
38,0.0030123456790533965,0.0,0,False
39,0.001620543209810421,0.0,0,False
40,0.015132049382600599,0.0,0,False
41,0.008230716049411058,0.0,0,False
42,0.003458370370481134,0.0,0,False
43,0.03688572839519111,0.0,0,False
44,0.006553679012313296,0.0,0,False
45,0.007963259259213373,0.0,0,False
46,0.0086364444443916,0.0,0,False
47,0.0032734814815285063,0.0,0,False
48,0.007593086419774409,0.0,0,False
49,0.007529481481469702,0.0,0,False
50,0.03828266666664604,0.0,0,False
51,0.0031375802468573966,0.0,0,False
52,0.003418864197556104,0.0,0,False
53,0.018665086419787258,0.0,0,False
54,0.02383644444444144,0.0,0,False
55,0.008143012345726675,0.0,0,False
56,0.006485333333330345,0.0,0,False
57,0.010568691358230353,0.0,0,False
58,0.011125728394972612,0.0,0,False
59,0.006516148148193679,0.0,0,False
60,0.006802962962865422,0.0,0,False
61,0.033927111111097474,0.0,0,False
62,0.005720888888845366,0.0,0,False
63,0.01425027160485115,0.0,0,False
64,0.02446222222238248,0.0,0,False
65,0.01007051851865981,0.0,0,False
66,0.04474153086403021,0.0,0,False
67,0.022144790123547864,0.0,0,False
68,0.02871940740737955,0.0,0,False
69,0.016993185185128823,0.0,0,False
70,0.012606814814716927,0.0,0,False
71,0.009888000000046304,0.0,0,False
72,0.007763358024703848,0.0,0,False
73,0.003760592592470857,0.0,0,False
74,0.005081283950630677,0.0,0,False
75,0.011084641975457998,0.0,0,False
76,0.005837432098815043,0.0,0,False
77,0.004182913580280001,0.0,0,False
78,0.005407209876466368,0.0,0,False
79,0.030813629629619754,0.0,0,False
80,0.009592888889073947,0.0,0,False
81,0.0030518518519784266,0.0,0,False
82,0.008612740740773006,0.0,0,False
83,0.008316049382756319,0.0,0,False
84,0.006584098765415547,0.0,0,False
85,0.005015703703747931,0.0,0,False
86,0.004017382716028806,0.0,0,False
87,0.0037341234567520587,0.0,0,False
88,0.022183111110962273,0.0,0,False
89,0.027747950617367678,0.0,0,False
90,0.010049185185152965,0.0,0,False
91,0.02807269135792012,0.0,0,False
92,0.03190795061732388,0.0,0,False
93,0.019724641975471968,0.0,0,False
