steps,time,reward,delta,converged
1,0.0018465185185618793,0.0,0.00030237974847464194,False
2,0.0034192592592603432,0.0,0.00030237974847464194,False
3,0.005462913580288387,0.0,0.00030237974847464194,False
4,0.0037199012345467963,0.0,0.00030237974847464194,False
5,0.0026670617284025866,0.0,0.00030237974847464194,False
6,0.0013708641974972124,0.0,0.00030237974847464194,False
7,0.0029451851851831634,0.0,0.00030237974847464194,False
8,0.00510064197533211,0.0,0.00030237974847464194,False
9,0.0005503209876565052,0.0,0.00030237974847464194,False
10,0.00042548148149990084,0.0,0.00030237974847464194,False
11,0.0026721975308419132,0.0,0.00030237974847464194,False
12,0.0007182222222468226,0.0,0.00030237974847464194,False
13,0.011335901234588164,0.0,0.00030237974847464194,False
14,0.0036199506172920337,0.0,0.0003168224309068326,False
15,0.0018808888888770525,0.0,0.0003168224309068326,False
16,0.0008399012345421397,0.0,0.0003168224309068326,False
17,0.001316345679015285,0.0,0.0003168224309068326,False
18,0.0006660740741040172,0.0,0.0003168224309068326,False
19,0.003383703703661922,0.0,0.0003168224309068326,False
20,0.000679901234548197,0.0,0.0003168224309068326,False
21,0.0015431111111183782,0.0,0.0003168224309068326,False
22,0.0019132839506141863,0.0,0.0003168224309068326,False
23,0.0005483456790216223,0.0,0.0003168224309068326,False
24,0.0008683456790095079,0.0,0.0003168224309068326,False
25,0.0010931358024777182,0.0,0.0003168224309068326,False
26,0.00045985185187191746,0.0,0.0003168224309068326,False
27,0.002138864197490875,0.0,0.0003168224309068326,False
28,0.0007205925925859447,0.0,0.0003168224309068326,False
29,0.0013025185185142618,0.0,0.0003168224309068326,False
30,0.0007427160493875817,0.0,0.0003168224309068326,False
31,0.0010690370370411983,0.0,0.0003168224309068326,False
32,0.0008434567901076662,0.0,0.0003168224309068326,False
33,0.001585382716029926,0.0,0.0003168224309068326,False
34,0.0006696296296695436,0.0,0.0003168224309068326,False
35,0.0014558024691382343,0.0,0.0003168224309068326,False
36,0.0014052345679260725,0.0,0.0003168224309068326,False
37,0.0006044444444341934,0.0,0.0003168224309068326,False
38,0.004448790123433355,0.0,0.0003168224309068326,False
39,0.0012867160493783558,0.0,0.0003168224309068326,False
40,0.0012077037036988258,0.0,0.0003168224309068326,False
41,0.005241679012328859,0.0,0.0003168224309068326,False
42,0.0047581234567815045,0.0,0.0003168224309068326,False
43,0.002286222222210199,0.0,0.0003168224309068326,False
44,0.0009568395062160562,0.0,0.0003168224309068326,False
