episode,length,time,reward,delta
0,500.0,0.03437037037042501,-3273.0,-0.6595055849350601
1,500.0,0.030218666666769423,-2877.0,-0.3144766135111028
2,500.0,0.03215841975293188,-2877.0,-0.4439140072170882
3,500.0,0.030068543209836207,-3075.0,-0.3656353818863429
4,500.0,0.028679111111159727,-2679.0,-0.01620991829364926
5,500.0,0.029232987654495446,-2481.0,-0.12414603620037501
6,500.0,0.029681777777796015,-3075.0,-0.10607791374158126
7,500.0,0.0289181234568332,-2679.0,-0.10891596278196514
8,409.0,0.024835160493694275,-2289.0,100.00008597301091
9,500.0,0.03840039506189896,-2976.0,-0.011350950790672387
10,209.0,0.016531753086383105,-802.0,90.00007737570982
11,142.0,0.008771555555540544,-636.0,81.00006963813884
12,48.0,0.0036641975309521513,52.0,72.90006267432496
13,237.0,0.01713224691366122,-929.0,65.61005640689245
14,199.0,0.012127604938314107,-1188.0,59.049050766203216
15,42.0,0.002471506172696536,58.0,53.14414568958289
16,265.0,0.015411358024721267,-1353.0,47.8297311206246
17,438.0,0.025433283950633268,-2318.0,43.04675800856214
18,56.0,0.003037234567955238,-154.0,38.74208220770593
19,166.0,0.009621333333370785,-957.0,34.86787398693534
20,141.0,0.008165530864289394,-437.0,31.3810865882418
21,28.0,0.0016343703703114443,72.0,28.24297792941762
22,57.0,0.0032719012347115495,-56.0,25.418680136475857
23,139.0,0.00924404938268708,-534.0,22.87681212282827
24,95.0,0.005812938271674284,-391.0,20.58913091054545
25,122.0,0.007469827160548448,-319.0,18.5302178194909
26,43.0,0.002667851851811065,-42.0,16.677196037541805
27,54.0,0.003316938271609615,-53.0,15.009476433787626
28,51.0,0.002913580246968195,-248.0,13.50852879040886
29,40.0,0.0023245432098519814,-39.0,12.157675911367974
30,39.0,0.002573037037109316,-38.0,10.941908320231178
31,25.0,0.001677037036870388,75.0,9.847717488208062
32,28.0,0.001556148148210923,72.0,8.862945739387257
33,145.0,0.00858864197539333,-540.0,7.97665116544853
34,29.0,0.001991506172771551,71.0,7.178986048903681
35,53.0,0.0036594567902739072,-52.0,6.461087444013316
36,19.0,0.0011587160493036208,-18.0,5.814978699611984
37,69.0,0.004049382716175387,-167.0,5.233480829650787
38,32.0,0.001931456790316588,-130.0,4.710132746685716
39,27.0,0.00153876543208753,73.0,4.239119472017151
40,125.0,0.0078431604938487,-718.0,3.8152075248154347
41,35.0,0.00207446913577769,-34.0,3.4336867723338855
42,50.0,0.003011950617292314,-49.0,3.0903180951005
43,44.0,0.0024505679011781467,-43.0,2.781286285590454
44,16.0,0.0009750123456342408,84.0,2.5031576570314087
45,40.0,0.0027895308639926952,60.0,2.2528418913282735
46,26.0,0.0015770864197293122,74.0,2.027557702195452
47,25.0,0.001449876543119899,-24.0,1.8248019319759123
48,19.0,0.0010627160493186238,81.0,1.642321738778321
49,37.0,0.0021475555554388848,-36.0,1.4780895649004862
50,21.0,0.0011678024691264,79.0,1.3302806084104333
51,17.0,0.0012499753086103738,83.0,1.1972525475693914
52,29.0,0.0016967901235602767,71.0,1.077527292812448
53,18.0,0.0010477037035343528,82.0,0.9697745635312032
54,15.0,0.0008730864196877519,85.0,0.8727971071780871
55,31.0,0.0021230617282981257,69.0,0.7855173964602784
56,49.0,0.0032805925925458723,-246.0,0.7069656568142477
57,29.0,0.002064197530899037,71.0,0.6362690911328173
58,22.0,0.001386271605042566,78.0,0.5726421820195355
59,73.0,0.004181333333463044,-171.0,0.5153779638175848
60,30.0,0.0017801481481001247,70.0,0.46384016743583345
61,31.0,0.0022340740742947673,-30.0,0.41745615069224584
62,56.0,0.0036021728394644015,-154.0,0.37571053562301415
63,16.0,0.0009706666667170794,-15.0,0.3381394820607113
64,33.0,0.0018959012345476367,67.0,0.30432553385463734
