steps,time,reward,delta,converged
1,0.005200197530712103,0.0,0,False
2,0.0015186172838639322,0.0,0,False
3,0.004942222222325654,0.0,0,False
4,0.0034038518519992067,0.0,0,False
5,0.004092444444495413,0.0,0,False
6,0.003219753086568744,0.0,0,False
7,0.005138962962973892,0.0,0,False
8,0.003672493827252765,0.0,0,False
9,0.0017212839507010358,0.0,0,False
10,0.006148740740627545,0.0,0,False
11,0.006904098765289746,0.0,0,False
12,0.006992197530735211,0.0,0,False
13,0.004034370370391116,0.0,0,False
14,0.009575901234484263,0.0,0,False
15,0.017877333333217393,0.0,0,False
16,0.008355555555453975,0.0,0,False
17,0.007026172839459832,0.0,0,False
18,0.006903703703756037,0.0,0,False
19,0.0040430617284528125,0.0,0,False
20,0.010713679012496868,0.0,0,False
21,0.005330172839649094,0.0,0,False
22,0.028407703703805964,0.0,0,False
23,0.0013416296294508356,0.0,0,False
24,0.013339259259282699,0.0,0,False
25,0.005199407407417311,0.0,0,False
26,0.003079506172980473,0.0,0,False
27,0.0010583703704014624,0.0,0,False
28,0.031224888888800706,0.0,0,False
29,0.004383209876550609,0.0,0,False
30,0.0028365432099235477,0.0,0,False
31,0.005155555555347746,0.0,0,False
32,0.0025370864198066556,0.0,0,False
33,0.002818370370505363,0.0,0,False
34,0.0038048395060741314,0.0,0,False
35,0.03534222222219796,0.0,0,False
36,0.011392790123409213,0.0,0,False
37,0.0195326419752746,0.0,0,False
38,0.004162370370295321,0.0,0,False
39,0.002853530864285858,0.0,0,False
40,0.0046937283950683195,0.0,0,False
41,0.020713876543368315,0.0,0,False
42,0.013282370370234275,0.0,0,False
43,0.002648888888870715,0.0,0,False
44,0.006431604938370583,0.0,0,False
45,0.0048960000001443404,0.0,0,False
46,0.006112395061791176,0.0,0,False
47,0.008410469135696985,0.0,0,False
48,0.0016956049382770289,0.0,0,False
49,0.0058133333334353665,0.0,0,False
50,0.010542222222284181,0.0,0,False
51,0.01740523456783194,0.0,0,False
52,0.0037700740742820926,0.0,0,False
53,0.024716641975373932,0.0,0,False
54,0.028390716049443654,0.0,0,False
55,0.0028638024691645114,0.0,0,False
56,0.009864691358188793,0.0,0,False
57,0.027340641975342805,0.0,0,False
58,0.007090172839525621,0.0,0,False
59,0.009939753086428027,0.0,0,False
60,0.013174518518553668,0.0,0,False
61,0.010192592592602523,0.0,0,False
62,0.016553876543184742,0.0,0,False
63,0.0076586666666571546,0.0,0,False
64,0.01931022222242973,0.0,0,False
65,0.00636286419762655,0.0,0,False
66,0.01900483950612397,0.0,0,False
67,0.006820740740749898,0.0,0,False
68,0.021878913580167136,0.0,0,False
69,0.008833185185267212,0.0,0,False
70,0.0055608888887945795,0.0,0,False
71,0.01125570370368223,0.0,0,False
72,0.0017279999999573192,0.0,0,False
73,0.0269404444443353,0.0,0,False
