episode,length,time,reward,delta
0,500.0,0.03030834567880447,-3669.0,-0.0005534476467015104
1,500.0,0.031937975308665045,-2580.0,-1.6443450407965798e-06
2,500.0,0.03449125925908447,-3471.0,-3.7927069388210555e-05
3,500.0,0.03386429629608756,-3570.0,-1.62629574251838e-08
4,500.0,0.030950716049119364,-2976.0,-1.1186532274942707e-05
5,307.0,0.02737856790099613,-2187.0,99.99931290008018
6,361.0,0.02865382716026943,-2241.0,49.99965645004009
7,59.0,0.0036278518518884084,-256.0,24.999828225020053
8,398.0,0.027553185184842732,-3466.0,12.499914112510027
9,178.0,0.016741530864237575,-1068.0,6.249957056255013
10,137.0,0.007860543209972093,-631.0,3.1249785281275138
11,28.0,0.0016683456788086914,-225.0,1.5624892640637569
12,75.0,0.005682172839442501,-569.0,0.7812446320318713
13,89.0,0.007785086419517029,-484.0,0.39062231601593567
14,61.0,0.004954864197770803,-357.0,0.19531115800796783
15,32.0,0.0028195555555612373,-31.0,0.09765557900398392
16,41.0,0.003917827160421439,-139.0,0.04882778950198485
17,43.0,0.00527367901213438,-141.0,0.024413894750992426
18,68.0,0.010710518518862955,-364.0,0.012206947375489108
19,83.0,0.009527703703952284,-379.0,0.006103473687744554
20,16.0,0.0012412839505486772,84.0,0.003051736843872277
21,50.0,0.0037175308643782046,-247.0,0.0015258684219361385
22,34.0,0.0020531358022708446,-33.0,0.0007629342109680692
23,38.0,0.0024316049384651706,-136.0,0.0003814671054840346
24,36.0,0.002173234567635518,-134.0,0.0001907335527420173
25,29.0,0.0017003456791826466,-28.0,9.536677637811408e-05
26,36.0,0.0023178271603683243,-35.0,4.768338818905704e-05
27,51.0,0.0028851358024439833,-248.0,2.3841694087423093e-05
28,16.0,0.001104592592582776,84.0,1.1920847043711547e-05
29,30.0,0.0018520493827054452,-29.0,5.960423521855773e-06
30,14.0,0.0008406913580074615,86.0,2.9802117609278866e-06
31,58.0,0.0033189135801876546,-156.0,1.4901058875693707e-06
32,14.0,0.0009264197528864315,86.0,7.450529437846853e-07
33,32.0,0.0018808888889907394,-31.0,3.7252647189234267e-07
34,64.0,0.003783506172567286,-261.0,1.8626323594617133e-07
35,19.0,0.0019413333329794114,-18.0,9.313161797308567e-08
36,36.0,0.002329679012291308,-35.0,4.656581609197019e-08
37,15.0,0.0010188641972490586,-14.0,2.3282908045985096e-08
38,44.0,0.003277037037150876,-142.0,1.164144691756519e-08
39,28.0,0.001666765431764361,-27.0,5.820723458782595e-09
40,32.0,0.0023533827161372756,68.0,2.91035462396394e-09
41,37.0,0.002426864197332179,-36.0,1.45517731198197e-09
42,44.0,0.0025501234567855136,-43.0,7.275957614183426e-10
43,28.0,0.0015980246917024488,-126.0,3.637978807091713e-10
44,22.0,0.0012649876543946448,78.0,1.8189894035458565e-10
45,16.0,0.0009821234566516068,84.0,9.094947017729282e-11
46,42.0,0.0024719012344576186,-140.0,4.547473508864641e-11
47,38.0,0.002120296296197921,-136.0,2.2737367544323206e-11
48,33.0,0.0020061234567947395,-32.0,1.1368683772161603e-11
49,50.0,0.002815604937950411,-247.0,5.6843418860808015e-12
50,43.0,0.002462024691340048,-141.0,2.8421709430404007e-12
51,16.0,0.0010319012344552903,84.0,1.4210854715202004e-12
52,19.0,0.001189530864394328,81.0,7.105427357601002e-13
53,25.0,0.001419061728483939,-24.0,3.552713678800501e-13
54,98.0,0.005647407407195715,-889.0,1.7053025658242404e-13
55,21.0,0.0013463703703564533,-20.0,8.526512829121202e-14
56,20.0,0.001151604938058881,80.0,4.263256414560601e-14
57,55.0,0.003070024691623985,-252.0,2.842170943040401e-14
58,31.0,0.0017829135799729556,-30.0,1.4210854715202004e-14
59,43.0,0.002535506172989699,-339.0,0.0
60,36.0,0.002477432098658028,-35.0,0.0
61,25.0,0.0015755061726849817,-123.0,0.0
