steps,time,reward,delta,converged
1,0.004344493827261431,0.0,0,False
2,0.00257777777778756,0.0,0,False
3,0.005071802469160502,0.0,0,False
4,0.002806913580229775,0.0,0,False
5,0.008042666666597142,0.0,9.669038299760141e-06,False
6,0.004897185185086528,0.0,9.669038299760141e-06,False
7,0.005638716049361392,0.0,4.098059524710347e-05,False
8,0.0008252839506894816,0.0,4.098059524710347e-05,False
9,0.00622696296295544,0.0,4.098059524710347e-05,False
10,0.004969481481566618,0.0,4.098059524710347e-05,False
11,0.004860049382727993,0.0,4.098059524710347e-05,False
12,0.0022249876543583014,0.0,4.098059524710347e-05,False
13,0.004678716049397735,0.0,4.098059524710347e-05,False
14,0.005865481481464485,0.0,4.098059524710347e-05,False
15,0.015197234567949636,0.0,4.098059524710347e-05,False
16,0.003975901234525736,0.0,4.098059524710347e-05,False
17,0.002507456790112883,0.0,4.098059524710347e-05,False
18,0.0038159012345886367,0.0,4.098059524710347e-05,False
19,0.003503012345731804,0.0,4.098059524710347e-05,False
20,0.00109392592594304,0.0,4.098059524710347e-05,False
21,0.0013519012345568626,0.0,4.098059524710347e-05,False
22,0.0021147654321111986,0.0,4.098059524710347e-05,False
23,0.006242765432034503,0.0,4.098059524710347e-05,False
24,0.00159367901233054,0.0,4.098059524710347e-05,False
25,0.00555575308646894,0.0,4.098059524710347e-05,False
26,0.0046609382716269465,0.0,4.098059524710347e-05,False
27,0.0014044444444607507,0.0,4.098059524710347e-05,False
28,0.000713876543159131,0.0,4.098059524710347e-05,False
29,0.001922370370380122,0.0,4.098059524710347e-05,False
30,0.0028661728395036334,0.0,4.098059524710347e-05,False
31,0.0026978765431522334,0.0,4.098059524710347e-05,False
32,0.004941827160564571,0.0,4.098059524710347e-05,False
33,0.005121185185203103,0.0,4.098059524710347e-05,False
34,0.006970074074047261,0.0,4.098059524710347e-05,False
35,0.0209299753086043,0.0,4.098059524710347e-05,False
36,0.0010773333333418122,0.0,4.098059524710347e-05,False
37,0.0012910617283523607,0.0,4.098059524710347e-05,False
38,0.005993086419834981,0.0,4.098059524710347e-05,False
39,0.002184296296377397,0.0,4.098059524710347e-05,False
40,0.002729876543185128,0.0,4.098059524710347e-05,False
41,0.0009714567901255577,0.0,4.098059524710347e-05,False
42,0.0022787160494317504,0.0,4.098059524710347e-05,False
43,0.0024505679012918336,0.0,4.098059524710347e-05,False
44,0.003902419753103459,0.0,4.098059524710347e-05,False
45,0.002821925926014046,0.0,4.098059524710347e-05,False
46,0.007094913580317552,0.0,4.098059524710347e-05,False
47,0.002211160493857278,0.0,4.098059524710347e-05,False
48,0.004159999999956199,0.0,4.098059524710347e-05,False
49,0.0014775308642356322,0.0,4.098059524710347e-05,False
50,0.002916740740829482,0.0,4.098059524710347e-05,False
51,0.004995950617285416,0.0,4.098059524710347e-05,False
52,0.0016458271604733454,0.0,4.098059524710347e-05,False
53,0.006365629629613068,0.0,4.098059524710347e-05,False
54,0.0013246419753158989,0.0,4.098059524710347e-05,False
55,0.003205925925954034,0.0,4.098059524710347e-05,False
56,0.0012989629630055788,0.0,4.098059524710347e-05,False
57,0.0034571851851978863,0.0,4.098059524710347e-05,False
58,0.0007352098765522896,0.0,4.098059524710347e-05,False
59,0.0026473086419400715,0.0,4.098059524710347e-05,False
60,0.0007751111111247155,0.0,4.098059524710347e-05,False
61,0.0011729382715657266,0.0,4.098059524710347e-05,False
62,0.0020562962962458187,0.0,4.098059524710347e-05,False
63,0.006499555555592451,0.0,4.098059524710347e-05,False
64,0.004976592592583984,0.0,4.098059524710347e-05,False
65,0.0010429629629697956,0.0,4.098059524710347e-05,False
66,0.002861827160472785,0.0,4.098059524710347e-05,False
67,0.0013878518518595229,0.0,4.098059524710347e-05,False
68,0.0037100246913723822,0.0,4.098059524710347e-05,False
69,0.0034394074074270975,0.0,4.098059524710347e-05,False
70,0.002217481481466166,0.0,4.098059524710347e-05,False
71,0.0005760000000236687,0.0,4.098059524710347e-05,False
72,0.0040304197530076635,0.0,4.098059524710347e-05,False
73,0.0017568395061289266,0.0,4.098059524710347e-05,False
74,0.0015257283949949851,0.0,4.098059524710347e-05,False
75,0.0013309629629247866,0.0,4.098059524710347e-05,False
76,0.0005720493826402162,0.0,4.098059524710347e-05,False
77,0.004834370370417673,0.0,4.098059524710347e-05,False
78,0.0015277037036867114,0.0,4.098059524710347e-05,False
79,0.0007810370369725206,0.0,4.098059524710347e-05,False
80,0.0015790617284210384,0.0,4.098059524710347e-05,False
81,0.004364246913610259,0.0,4.098059524710347e-05,False
82,0.003269135802497658,0.0,4.098059524710347e-05,False
83,0.005756839506148026,0.0,4.098059524710347e-05,False
84,0.0013112098765759583,0.0,4.098059524710347e-05,False
85,0.0008845432098496531,0.0,4.098059524710347e-05,False
86,0.005009382716025357,0.0,4.098059524710347e-05,False
87,0.0026718024691945175,0.0,4.098059524710347e-05,False
88,0.0012772345678513375,0.0,4.098059524710347e-05,False
89,0.00196819753091404,0.0,4.098059524710347e-05,False
90,0.0032280493826419843,0.0,4.098059524710347e-05,False
91,0.002851555555594132,0.0,4.098059524710347e-05,False
92,0.0009177283950521087,0.0,4.098059524710347e-05,False
93,0.001000296296297165,0.0,4.098059524710347e-05,False
94,0.0019966419753245646,0.0,4.098059524710347e-05,False
95,0.0064849382716829496,0.0,4.098059524710347e-05,False
96,0.010540641975353537,0.0,4.098059524710347e-05,False
97,0.00522390123455807,0.0,4.098059524710347e-05,False
98,0.004628938271594052,0.0,4.098059524710347e-05,False
99,0.0024493827160085857,0.0,4.098059524710347e-05,False
100,0.001569185185189781,0.0,4.098059524710347e-05,False
101,0.005042567901227812,0.0,4.098059524710347e-05,False
102,0.0013637530864798464,0.0,4.098059524710347e-05,False
103,0.0026164938271904248,0.0,4.098059524710347e-05,False
104,0.0016319999999723223,0.0,4.098059524710347e-05,False
105,0.002154271604922542,0.0,4.098059524710347e-05,False
106,0.001024790123551611,0.0,4.098059524710347e-05,False
107,0.004988839506154363,0.0,4.098059524710347e-05,False
108,0.001031901234568977,0.0,4.611001607186365e-05,False
109,0.0018070123456936926,0.0,4.61845187802802e-05,False
110,0.007716345679000369,0.0,4.61845187802802e-05,False
111,0.0010512592592704095,0.0,4.61845187802802e-05,False
112,0.007950617283881911,0.0,4.61845187802802e-05,False
113,0.0033726419752611037,0.0,4.61845187802802e-05,False
114,0.005506765432073735,0.0,4.61845187802802e-05,False
115,0.008609975308672801,0.0,4.61845187802802e-05,False
116,0.0048213333333251285,0.0,4.61845187802802e-05,False
117,0.006285827160468216,0.0,4.61845187802802e-05,False
118,0.002343506172906018,0.0,4.61845187802802e-05,False
119,0.0036898765432624714,0.0,4.61845187802802e-05,False
120,0.0025031111110820348,0.0,5.094455810421206e-05,False
121,0.0009927901234050296,0.0,5.094455810421206e-05,False
122,0.0026962962963352766,0.0,5.094455810421206e-05,False
123,0.0012156049382383571,0.0,5.094455810421206e-05,False
124,0.0027136790123449828,0.0,5.094455810421206e-05,False
125,0.000699654321010712,0.0,5.094455810421206e-05,False
126,0.0014799012344610674,0.0,5.094455810421206e-05,False
127,0.0009919999999965512,0.0,5.151642051986556e-05,False
128,0.0005641481481006849,0.0,5.151642051986556e-05,False
129,0.0008616296296395376,0.0,5.151642051986556e-05,False
130,0.0034864197530168894,0.0,5.151642051986556e-05,False
131,0.007519999999999527,0.0,5.151642051986556e-05,False
132,0.0033272098766019553,0.0,5.151642051986556e-05,False
133,0.0003689876542694037,0.0,5.680877561246825e-05,False
134,0.0007320493828046892,0.0,5.680877561246825e-05,False
135,0.005102617283910149,0.0,5.680877561246825e-05,False
136,0.0009141728395434257,0.0,5.680877561246825e-05,False
137,0.0011124938271223073,0.0,5.680877561246825e-05,False
138,0.004722962962887323,0.0,5.680877561246825e-05,False
139,0.0018623209876977853,0.0,5.680877561246825e-05,False
140,0.005410765432088738,0.0,5.680877561246825e-05,False
141,0.002110814814727746,0.0,5.680877561246825e-05,False
142,0.0018160987655164718,0.0,5.680877561246825e-05,False
143,0.0028440493827019964,0.0,5.680877561246825e-05,False
144,0.0013183209875933244,0.0,5.680877561246825e-05,False
145,0.008773925925993353,0.0,5.680877561246825e-05,False
146,0.0029305679012168184,0.0,5.680877561246825e-05,False
147,0.003347358024711866,0.0,5.680877561246825e-05,False
148,0.006526419753072332,0.0,5.680877561246825e-05,False
149,0.000637629629636649,0.0,5.680877561246825e-05,False
150,0.0022024691357955817,0.0,5.680877561246825e-05,False
151,0.005146864197513423,0.0,5.680877561246825e-05,False
152,0.002878419753074013,0.0,5.680877561246825e-05,False
153,0.002762666666626501,0.0,5.680877561246825e-05,False
