step,reward,mean,median,std,max,min
0,0.015625,0.015625,0.015625,0.0,0.015625,0.015625
1,0.0,0.0078125,0.0078125,0.0078125,0.015625,0.0
2,0.030303030303030304,0.015309343434343434,0.015625,0.012373173688459367,0.030303030303030304,0.0
3,0.04,0.021482007575757578,0.022964015151515152,0.015136938863313392,0.04,0.0
4,0.015384615384615385,0.02026252913752914,0.015625,0.013756818133804275,0.04,0.0
5,0.029411764705882353,0.021787401732254675,0.022518382352941176,0.013012861065994035,0.04,0.0
6,0.0,0.018674915770504008,0.015625,0.014257254849700553,0.04,0.0
7,0.01639344262295082,0.01838973162705986,0.016009221311475412,0.013357767827666792,0.04,0.0
8,0.009174311926605505,0.017365796104787154,0.015625,0.012922536968732724,0.04,0.0
9,0.022222222222222223,0.01785143871653066,0.016009221311475412,0.012345663378470475,0.04,0.0
10,0.0,0.01622858065139151,0.015625,0.012841189252131598,0.04,0.0
11,0.018518518518518517,0.016419408806985426,0.016009221311475412,0.012310782490413822,0.04,0.0
12,0.016129032258064516,0.016397072149376128,0.016129032258064516,0.01182807032448972,0.04,0.0
13,0.02857142857142857,0.01726666903666559,0.01626123744050767,0.011821198847396894,0.04,0.0
14,0.009174311926605505,0.016727178562661583,0.016129032258064516,0.011597387305421829,0.04,0.0
15,0.012195121951219513,0.01644392502444645,0.015877016129032258,0.011282582541073333,0.04,0.0
16,0.008928571428571428,0.016001845401159686,0.015625,0.011087631836798593,0.04,0.0
17,0.02564102564102564,0.016537355414485574,0.015877016129032258,0.010999133233225815,0.04,0.0
18,0.007751937984496124,0.0160749650234335,0.015625,0.0108840250891863,0.04,0.0
19,0.0,0.015271216772261823,0.015504807692307693,0.011171979046207703,0.04,0.0
20,0.0125,0.015139254068820784,0.015384615384615385,0.010918695764866215,0.04,0.0
21,0.0,0.014451106156601657,0.013942307692307693,0.011124001955232062,0.04,0.0
22,0.017241379310344827,0.014572422380677446,0.015384615384615385,0.010894359026717523,0.04,0.0
23,0.009523809523809525,0.01436206351164128,0.013942307692307693,0.010712587648722056,0.04,0.0
24,0.0,0.013787580971175628,0.0125,0.010866916642244345,0.04,0.0
25,0.0,0.013257289395361182,0.012347560975609757,0.010980809980867721,0.04,0.0
26,0.017543859649122806,0.013416051256611612,0.0125,0.01080590891921945,0.04,0.0
27,0.008620689655172414,0.013244788342274497,0.012347560975609757,0.010648442625379525,0.04,0.0
28,0.0196078431372549,0.013464204024860028,0.0125,0.010527457632634867,0.04,0.0
29,0.0,0.013015397224031361,0.012347560975609757,0.010628947150258576,0.04,0.0
30,0.018867924528301886,0.013204188427394925,0.0125,0.010507113866427765,0.04,0.0
31,0.011235955056179775,0.013142681134544454,0.012347560975609757,0.010347305775178933,0.04,0.0
32,0.0,0.012744418069861289,0.012195121951219513,0.010435416677512582,0.04,0.0
33,0.021739130434782608,0.013008968433535445,0.012347560975609757,0.010392526580644296,0.04,0.0
34,0.005291005291005291,0.012788455200891726,0.012195121951219513,0.010323373948565195,0.04,0.0
35,0.009900990099009901,0.012708247836950563,0.011715538503699644,0.010190038160458069,0.04,0.0
36,0.013333333333333334,0.012725142039555503,0.012195121951219513,0.010051902830719068,0.04,0.0
